,content
177,钢铁侠双子，美国队长金牛，黑寡妇天秤，雷神白羊，绿巨人摩羯，鹰眼巨蟹，蚁人水瓶，浣熊处女，蜘蛛侠射手，惊奇队长狮子，星云双鱼，灭霸天蝎。好想看复仇者联盟集体参加一季Survivor。
178,想要的都给足了。害怕的都没发生/在预料范围内。情怀杀吃到饱。比肩指环王的最后一战。没有遗憾了。铁人粉知足了，MVP送给美队！！
179,女朋友没哭的话注意一下了
181,妇联在中国死的最晚，复活的最快！ps：今天刚顶着被辞退的风险看完妇联4值了！💯！期待下一个10年！
184,收官之战心疼雷神……
185,零点场看完急着写稿子语无伦次。本来看前一肚子气，而自己本身只是个伪粉，只想看脸和身材，结果完全超出预期，情怀这俩字永远吃香并且是超级王炸。好多梗我都能get到，你就不得不佩服这个系列作为一种文化现象是多么的成功。我想说不要排斥不要恶意，作为青年一代的精神寄托自然有他的价值点，而这场落幕罗素兄弟非常圆满且妥帖的完成了，复仇者们并不拘泥于纸片人，而是有血有肉有灵魂，否则观众不会又哭又笑又尖叫。很难归于类型片，更像一场盛大的狂欢，既疯狂激情，也黯然柔情，是多面体是大众化，也是当下社会和平行乌托邦，这不正是巴赫金的“狂欢化”吗？再加上前21部的拼贴秀，超英做到这个份上，值了。
186,84/100 非常大胆的突破了商业类型片的某种特定结构，这个选择对于这种级别的系列电影真的值得佩服的一件事。十年复联以这个故事结束也足以展现出漫威影业的极度耐心和深谋远虑，它不是简单的一个结束，而是一次意料之外又心服口服的全盘的回顾，十年前漫威为数亿观众创造了一个超现实世界，十年后他们又亲手将观众打回现实世界，感受超越超级英雄类型片的结束。复仇者联盟是我们这个时代的超级“星球大战”。
187,意想不到的有史诗感。这十年，你可能经历了钢铁侠的少年得意，可能经历了美国队长的弄巧成拙，奇异博士的东山再起，黑豹的不堪回首，惊奇队长的无人问津。但是回头看，这些林林总总都变成了复仇者联盟4里的意义。俱往矣。
189,这次真的全球最早 其他4.24的地区和国家因为零点场和时区等原因 大陆观众将成为最先知道全部剧情的人 给力（4.24看完打卡 精彩绝伦的巅峰史诗 笑点哭点都有 剧情非常棒 零点场气氛极佳 欢呼鼓掌 我爱他
190,其中两个镜头哭成狗，看到光圈出现时内心涌起了无数的回忆。十年了，感谢相伴。
191,我觉的吧，挺着啤酒肚的锤哥，是最大亮点。一部电影，能做到，让全球影迷像过节一样，你说，这部电影，牛B不牛B？！
192,【B】 托尼遇见他爸，索尔遇见他妈，史蒂夫赶上了约会。 家庭的羁绊，爱情的缺憾，还有责任的使然。 在被真正触动的情感面前，那些逻辑上的种种瑕疵和令人腻烦的插科打诨竟然都可以被原谅。
193,那是我逝去的青春。
194,你们那么多人欺负我灭霸一个，算什么英雄好汉！
195,最后一次见面，他知晓她留在过去，她知晓他来自未来。她对他说，“每个人都无法成为理想中的自己，衡量一个人、一个英雄，要看他们是否成功做自己。”他们都做到了，足够。神明大厦坍圮，肉身成住坏空，既然我们终有一别，那就告别吧。正因参透生死，故而不再畏惧生死；正因看淡生死，故而才能从容赴死；正因这里有我们的一生所爱，故而依旧贪生怕死；正因我知道你知道我会死，故而才敢爱你三千次。
196,要啥给啥，真·官方逼死同人。2019.04.24@英皇电影城&2019.05.02@耀莱丽泽桥 粉丝场的渲染加分太多，大概和看演唱会一个效果吧。
197,比想象中好。几个想法：1 不要认输，不要跟时间认输，更不要跟自己认输；2 尊重每一个个体的想法非常重要。集体是盲目的，但是个体却超乎我们想象地具有能量；3 记忆是我们之为我们的一切，记忆亦是我们之为我们最大的阻碍；4 爱跟记忆一样；5 失败像成功一样值得被尊敬，因为他们在另一个时空里或许是成功的，我们在另一个时空里是失败的，但我们的本质一样，我们都是赤手空拳赢得历史的人；6 英雄主义永远是人心的镇定剂，不论谁，必须相信点什么才能活着，有时候人们的英雄是英雄们，但时时刻刻，自己都是我们的英雄；因而，信念永不死，英雄永不死。7 必须吐槽的是，太……政治正确了，美队成黑人了是不是有点违和啊喂！！8 观众是好哄的，说了那么多，还不是自我感动。🤷♀️
199,喜欢的地方：收尾得挺好，和前面的剧情也都串联了起来，关于过去和未来，现实和记忆，情感和选择。不喜欢的地方：无聊的口水话太多了点；惊奇队长的存在也太不和谐了点，没有预告片里的那种震撼感。
200,“I Am Ironman” 年度最佳！回归起点的传奇落幕，可能比我过去看过的所有漫改超级英雄电影加在一起还要有分量，我曾经预想过它的千好万好，但从来没曾想到过它能这么好，激动到语无伦次加哭晕在电影院两项指标一次达成，我愿意把我无限的赞美送给所有主创！ 另：字幕结束后有彩蛋，但不是以画面的形式呈现 无论怎么说，今天，我们也算是见证历史了！
202,真的是一個年代的終結。十年走來，每個人都變得「面目全非」。那美好的仗我已經打過了、該跑的路程我已經跑盡了，也算溫柔告別，至少每個人都真槍實彈的哭了。如果圓滿有個樣子，大概不是你所想的那樣——圓滿可能是圓手圓臉胖肚子，可能是一臉祥和失去棱角，可能是垂垂蒼老，甚至可能是死亡，甚至可能是，十年來，那從未被語言套住，從未被激情所鼓動，從未被世情驗證的，碰碰額，握握手，縱身一躍，已沒有更多。
203,二刷IMAX！作为粉丝，我真的真的爆哭！！完美的剧本，太多梗了，回到12年复联1的时候我差点大叫出声，编剧竟然想到用这样的方式来回顾过往10年！锤哥和妈，铁人和爸，队长和卡特，每个角色的情结都照顾到了，有太多会心一笑/哭的点，但是寡姐！！我真的不接受这个结局，太TM坑了
204,或许会有下一代的超级英雄，可我已经没有下一个青春了。 这绝对是漫威最伟大作品！你自认是天命，但我是钢铁侠！托尼再一次以凡人之驱，比肩神明。观影过程中影厅数次响起掌声，特别是那句“九头蛇万岁”，全场爆笑。最后英雄集结的史诗大战，足以留名影史，极其高能炫目，每次都能看到惊喜，这大概是身为漫威迷最幸福的事了。 美国锤神做梦也没想到有一天会对自己说“I can do this all day”，不过这一次他没有错过迟到几十年的约会。肉装雷神也承包了大部分笑点，勒保斯基的梗出自科恩兄弟的电影《谋杀绿脚趾》，调侃雷神和主角的外形相似。MCU把之前每一部电影都完美串联，遍地彩蛋，各种桥段嫁接只能用完美来形容，漫威真的是用心在做电影。 告别是一件很难的事，但早晚都得适应它。
206,一刷3D效果一般，二刷IMAX3D掌声欢呼声哭泣声此起彼伏气氛超棒。漫威这回先发了让各种CP粉尖叫鼓掌的大把官方糖，再催虐下漫威粉丝们的伤心泪水。作为商业片已远超预期。几部前作/前重要配角的重现设计非常出彩，在角色减少的前提下三小时高潮迭起节奏把控精准完成度极高。佩服罗素兄弟敢做敢为。“老猿挂印”是为了“新人要出头”。是复联1的延续、复联3的镜像，更是系列彻底圆满的分水岭。原来的归原来，往后的归往后。不过系列一贯缺点依旧：原始人打架般的战斗/事后诸葛马后炮/主角是否有不死光环只取决于官方强行设定/某些喜剧梗还是尴尬。最厉害的惊奇队长竟成最大酱油
207,漫威打造了自己的头号玩家，甚至场面更壮观。一会哈哈哈哈一会卧槽，这是最好的告别。下一个十年，星系级战力该是起步了吧。
208,穿越时空这个设定我觉得还存在一些需要解释的空白，但终局之战真的犹如烟花盛宴最后最绚烂耀眼的闭幕，只是这个结局还是让我无比伤痛，英雄终是离我们而去，一个时代仿佛结束，而我们也仍将孤独前行
209,化繁为简了，更多是创作上的有意为之，也可能兼有占了上一部结局的好处，不管怎么样都比上一部好看太多。不算片尾不到三个小时的叙事一点不会让人觉得冗长，大家各司其职各归其位，极大限度照顾到了每一个角色。感人的地方很多，除了你我相逢，还有太多标志性的瞬间，这些瞬间是致敬是缅怀或是一种仪式感。
210,这TM哪儿是电影啊，是一场狂欢，是一场20岁到30岁的青春狂欢。把十年的回忆和人物叠进三个小时里面，每一秒每一帧都能有他说不完的故事，每一场面每一话都有能戳中心底的地方，也许许多的不完美，都在这三个小时里面完美了，也许许多的遗憾，也就留在了这三个小时里了。End Game，End the Start。
212,心满意足，睡觉去了。千言万语一句话：爱过。
214,贡献三张票 算是顺利完成任务了 。虽是本章最后一部 却难找回看复1时的激动 。英雄迟暮 解甲归田 为国捐躯 这些情节并不是很喜欢看到 ，还是希望众英雄像清华口号喊的那样“健康工作五十年 ”更好一些😊ི
215,十万个为什么是托尼，我得重温多少遍钢铁侠复仇者联盟才能弥补这样的悲伤
216,就像一部十年的电视剧完结，因为故事已经完全无法收拢，只能把重心转移到角色本身。让每个角色都拥有最完美的/注定的归宿。安东尼罗素客串的那一刻，我在问自己：你还喜欢罗素兄弟吗？那个以废柴联盟作为表达把《回到未来》奉为圭臬的罗素兄弟，现在把time travel以如此粗暴的方式作为最大谜底来交差，我心情很复杂。观影半途甚至以为，这个系列的收尾会更加科幻本质，不，更加美漫精神一些，把故事线肆意泼洒出去，最终形成一个【混沌又美丽】的图景（比如乔治马丁写的《局中变》）——最终还是发现，我对于罗素兄弟太高估了一些——又或者说对于漫威流水线的高压强度低估了一些。总之，这个HE是一份满意的影粉答卷。但仅限于此。
217,最后大家互相传递手套的场景，变成了美国人最喜欢的运动赛场：橄榄球。
218,复联3是美国春晚，中国人民熟悉的男大奶子女大奶子老艺术家们给大家拜大年的话，复联4就是熬过午夜美国李谷一奶奶出来唱难忘今宵了，你能想象得到一切文化社交热议并且热爱都在此刻汇聚，包含中国全球首映、五个亿的预购、sns疯狂刷屏，包括首映后三点第二场依然爆满还起立鼓掌的赞誉。文化意义远大于电影本身的存在。
219,不能剧透对吧？那就是灰化肥挥发会发黑，黑化肥发灰会挥发。完毕。
220,又名：《被偷走的那五年》
222,十年一梦
223,漫威有史以来最大的手笔和最高难度的剧本，情感的喷涌和英雄的收尾意料之外却又恰如其分，不愧于宣传所言的十年布局。其实只有这十年一部部看过来的人才能明白，全员集结的画面不仅是电影情节，对于我们这代九零后来说，那是一步步走过来的成长印记。ps：确实第一次凌晨在中国的电影院看到这么多待入场的观众，是啊无论漫威片多糖水无脑，可这个系列的确是属于我们这个年代的（星球大战）和（夺宝奇兵），再过二十年无数人会疯狂怀念这一晚，以及他们的青春。世界上不会再有第二个挥出热血之拳的史泰龙，就好像不会再有第二个刻骨铭心的唐尼jr。
224,完结篇教会观众说再见就可以了。带点哲学意味的商业片无法抗拒。祝福三位片约到期的演员。ps小蜘蛛出现的时候响起了掌声，果然是最受欢迎的角色。
225,是好看的，线头基本都收了。我忍不住觉得最后是在踢皮球，击鼓传花甩一个光荣弹的机会，毕竟这个机会看起来谁都可以。你们看看寡妇和鹰眼是怎样慷慨赴死的，再看看其他人是怎么互相甩锅/手套的，铁人死于运气不好，到他手里音乐停了。说好的打响指前要经过一段痛苦的充能呢，绿巨和 thanos 都是如此，但某角色的响指/便当怎么这么熟练啊？与钢铁侠并肩战斗一千万次的奇异博士，并不想用时间宝石复活钢铁侠。说好的 bttf 及一切时间旅行都是 bs，你不能通过回到过去改变当前的一切，然鹅最后表明某角色还是成功了。当然，这些都可以用一切皆为宿命进行解释，但那就更没劲了。一个经历了各大事件几乎全知全能的美队，回到过去看着注定发生的悲剧再一次上演却只想当个无名扫地僧，懒得救冬兵，放任他被洗脑肉体折磨70年，真是太符合美队人设了你说是吧。
226,妈呀，这也太好看了吧。
227,铁人千古 漫威万岁
230,"Farewell,Avengers.一个时代结束了。"
231,全球首映！！谢谢漫威的生日礼物！！
232,【S】 https://movie.douban.com/review/10132677/ 这次，是真的都结束了。 2019.5.10三刷达成 第一部同时完成IMAX、4DX、杜比影院的了🙋 2019.5.23四刷
234,人们不（只）需要超级英雄，人们（更）需要鸡汤。鸡汤无法解决问题，但它能帮你振作起来，然后你自己来解决问题。我们总说过去就过去了，我们总说遗憾是美好的，可若真有机会回到过去弥补遗憾，重新获得已失去的，我想这份努力我们都会做吧。漫威宇宙，向我们展示了一个伟大的当代神话。最真实的，最人类的。
235,虽然那个，但想想也是那个了，觉得太那个了，当全场那个的时候，我全身都那个了，还是有被那个感染了吧，最喜欢的是那个那个还有那个，可是为什么不能那个呢，大家一起那个多好啊，希望还能再那个！
236,2019年夏天，想想就好遥远，到了那个时候，小罗伯特唐尼还演钢铁侠吗？寡姐还那么美吗？世界还和平吗？雾霾还那么严重吗？我走上人生巅峰了吗？
239,看完后想挤出点情感，但是年纪大了情绪波动不容易，我难得看电影能有一点情绪上的风吹草动，等到了豆瓣看到高分短评，发现其它人的情绪波动犹如风起云涌，我的emo以小见大，长江后浪推前浪，武汉每年长江泛洪一定都是豆瓣观影者的眼泪。呃····so·······谢谢你！豆瓣！
243,"此生不再的体验！庆幸有漫威，庆幸有那么多喜爱的角色陪伴多年，庆幸有那么丰厚的情感累积。最爱的，始终是Captain America & American Ass。❤//0511到房山万达刷皮卡和复联。原来预知结果，看着他们前赴后继地赴死，会更难过。电影终结了，两盏灯熄灭了，一阵风吹到了头，整个世界都哭着笑着哑了，以后当然还会有光，但那些人与事终究是此生不再。也许不好谈意难平，总愿意相信各得其所，也许是对彼此最大的温柔。之后应该会再刷吧，全员集结的振奋，还想再度感受。期待Gyllenhaal入局，期待寡姐电影，期待冬兵与猎鹰、红女巫与幻视、洛基再续前缘……I love you 3000. And I can do this all day... For family, for you."
244,在法国还能遇到在电影院不顾旁人全程讨论讲解剧情的中国小情侣，观影体验极其恶劣。忍不住了拿中文制止他们，结果人家装没听见接着说，粗暴地毁了我的复联。难过的是，我感到丢人多过生气。
245,有多好看呢，就是即使知道逻辑上有硬伤，各种悖论的影响下也去他妈的，就是这么好看
246,零点场快结束的时候有人隔着好几排嚎啕嚎啕大哭，突然就变葬礼现场了。
247,作为从钢铁侠1就开始看的人，那句台词 几乎和电影里的人同步脱口而出。就，这样就可以了。
249,1.地球人：欢迎灭霸莅临地球观看复仇者联盟大阅兵。灭霸：地球人必死！ 2.剧情宛如一出年会，就俩环节，投屏放映《两小时回顾漫威宇宙全系列电影》，再邀请所有主创合影留念，嘉宾颁发荣誉退休勋章。邪恶的紫女巫灭霸不请自来：你们为什么年会不请我！我要诅咒你们在座最漂亮的公主五年后手指戳到纺锤尖陷入沉睡。 3.其实我不怕角色死亡，反正漫威有一百种方式让他们复活。但我怕演员老去，借角色之死告别电影，那就真的角色死亡了。 4.电影最令我感到失落的是，每个超级英雄的人物弧光最终变成了一种疲软的退休宣言，每分每秒都写着“这不是你的个人电影，你得给其他人留几个镜头。”先前个人电影逐步丰满起来的人物维度，在这部阅兵式电影里只被允许展现单一侧面。我知道我永远错过了那个答案。 再见，最好的超级英雄们。
251,I am Iron Man
252,咩霸只是想建设社会主义新农村而已，他做错什么了？感到难过。
253,遇见过去的自己（或者对自己最重要的那个人）是个不错的主意，但是同样的伎俩如此频繁地重复使用，就是另一回事了。最煽情的两次死亡其实气氛都差蛮大意思的，无谓的嘴炮也真的过多了点，但是这一顿情怀操作，还是值得多鼓励半星的
254,短评剧透，请及时回避目光——MCU首次危机以托尼救世开始，这次以托尼救世结束；MCU本身又以铁人诞生开始，以铁人死亡结束。所以在无限传说里，铁托是绝对主角，而对元老复仇者而言，美队是绝对领袖。漫威以复联四部做主线，骨子里是传统的双主角设定，自然也要由他们落幕。本片是一部上乘的大结局，个人认为是美队2之后最好的漫威电影。罗素找到了正确方式串联起曾经的许多关键时刻，三小时的叙事快感很强。一切都回归原点，一切也都做出了结，22集电影至此成功形成闭环。遗憾是对“时空劫持”的叙述简直是一笔糊涂账。从钢铁侠1到复联4，整个无限传说本质上说的是对生命要抱以何种态度的问题。从纽约大战开始，复仇者在拯救与牺牲中不断徘徊，与灭霸的对抗本质是一场拔河比赛，生命就是绳子。虽有不少缺陷，至少无限传说的文本终于完整了。
255,看完只想说几点1.MCU forever。2.从此再无iron man… 3.队长在电梯里说那句九头蛇万岁时全场统一鼓掌 (当时内心吐槽，美队终于变成了小机灵鬼）4.那些英雄们再度出场时，影院里再次响起掌声（确实挺燃挺激动）5.罗素兄弟毕竟不是温子仁，所以肯定不会有回魂ironman 和招魂Natasha了……
256,已注射剧透疫苗。可以说，番位和剩余价值决定了结局的走向。被The Big Lebowski梗儿逗乐了，看完才想起来督爷本人是演过《钢铁侠》的，MCU的开山大反派。
257,春晚 每一对cp的粉丝都得到了生命的大和谐 甚至是爱一个时间线上不存在的人 and I bought it all 对雷神产生了真实的感情 雷神啦啦队队长是我 but who run the world? girls!（lebowski mungo jerry kinks//IMAX三刷 我从纯冬盾到半盾铁
258,没有彩蛋，但是仍然看完字幕才离开。
260,大概是亲眼见证参与了一次流行文化狂欢节，上千来号粉丝乌泱乌泱挤在零点前的影院进行一场朝圣活动，从提早5分钟放映片头龙标起始，到影片中每个笑点燃点泪点checkpoint点，再到片尾致敬名单展示都会集体发出掌声、欢呼声、尖叫声乃至啜泣声，一次独一无二的、极为珍贵且难忘的体验，远甚于电影节2001太空漫游场氛围。话已至此，完全能够想象到在几十年后的那些电影里，Avengers这个“复古”文化符号被cue到的频率有多高。二刷理解：的确有设定BUG和人物能力忽高忽低问题，多线故事也完全可以更庞大复杂，但现有剧本已经是在兼顾制片规划、粉丝期许、路人眼缘等多方需求后妥协至一个平衡点的结果。@卢米埃长楹天街 LD Plus零点首映&万达首创奥莱二代激光IMAX厅二刷
261,告別的年代，至少能有一次真正的告別。時間無法逆轉，消逝生命無法重臨，同樣被時間所困，沒有任何生命能掌握「道」，就算英雄再強大，也要找尋重新前行的方法，能回到過去也好，面對的都不是我們不熟識的人，能承續的只是犧牲的同伴和愛人們的意志，重現眼前的場景是一場心靈治癒，或者更有掌握真相的應對。(美國)英雄們不是為了私利，只為取回失去，而是有感不公而走上前線(還記得為何要拯救Ryan嗎？)， 如果Infinity Saga 對當下(美國)社會有什麼意義，來到最終章將底牌揭開，是飛機撞向帝國大廈的回聲，以至我們這11年來生命中的經歷與電影系列的結合，銀幕上也同樣上演自己的《Boyhood》，一次又一次回應粉絲們的所求，在生活中談論和期望，連結起眾人的悲歡離合，虛構走入生命，情感消費發揮極限。這是(大眾流行)電影的勝利和(藝術和風格的)失落。
262,是啊，可以说我来为烂片刷惆怅，当然还是坏人的失败，终结了一切故事，连复联组织也很难没有幻灭感吧。美国没有翘臀了，也没有彩蛋，也是要从扫地大姐嘴里不耐烦的说出来才是真的没有彩蛋。其实是终篇里有很多果，投掷给前这么多部的因。三个小时，的确有泪点和唏嘘。灯亮，观众丧如一地垃圾。
263,事实证明我这种伪粉也会哭到爆 最好的复联 最好的结局 爱你们 三千遍
264,不得不说，我在电影院哭的稀里哗啦。二刷imax。感谢灭霸，集结了整个漫威宇宙。另外，我为什么没看惊奇队长？？！！
265,据说杜伦大教堂在这部2333 快公映吧！2018-05-12想看 | 三小时的电影每个小时干了一件事，简直是掐表写的剧本😂 最喜欢新泽西一段，“hail hydra”笑哭，女角色集结一段意外。完成规定动作，各种前后呼应加分，前段略松散，高潮差口气。寡姐钢铁侠戳泪点，各位毕业快乐TUT PS 杜伦大教堂内景就是阿斯加德233 越来越觉得结尾的美队OOC了。。。
267,也就比还行稍微好一点吧……
268,其实托尼某种程度上也和灭霸一样，为了捍卫一个抽象的理念甘愿牺牲一切具体和个人的东西。 可为什么我们总是站在复联这一边，为什么我们会相信他们的信念，会为他们的牺牲和选择感动？ 因为我们是人类啊。 谢谢a锅坚持不懈地向我安利一些我本来一点都不想看的片（上一个是指环王，预感下一个是权游）。我很感动，真香。
269,漫长的告别，在这种情境下便不需讨论故事本身的诸多问题，感谢漫威在十余年里从无到有的构筑，依托自身丰富资源和好莱坞强势输出，打造了专属于这一代人的和群体性文化产品和情感体验。
270,系列连续剧最好的终章，在一片欢呼里哭得好大声，漫威要我命。
271,就一句话：挺心疼灭霸，连一个知心人都没有！
272,呜呜呜，漫威粉一本满足。
273,用穿越来拯救世界是个烂俗点子，但用穿越来告别却再合适不过了。如果顺着前两个小时的情绪拍到最后，能给五星，但最后的大乱斗实在太无聊，全挤成一团正面硬刚有什么好看的。
275,第一次哭到IMAX眼镜都戴不住！此刻，漫威你就是全世界！
276,平衡每个关键角色战力，大战交锋酣畅淋漓，漫威真的很会戳影迷G点了。告别！
277,"2008年，""I AM IRONMAN""，拉开漫威宇宙的恢宏序幕，十年之后，""I AM IRONMAN""也成了初代复仇者也是我的漫威岁月最好的落幕。 有很多遗憾多幸运可以弥补，那些没说出口的告白，没来得及的拥抱，和被错过的漫长人生。 有很多缺陷却无法再圆满，那些痛不欲生的放手，毫不隆重的道别，和本应见证和守护的成长。 从奇异博士用时间宝石换回你性命的那一刻起，为了最终结局的牺牲就已经成为了你的宿命。因为只能是你，必须是你。故事由你开始，也该由你结束。我相信在另一个宇宙你和你的爱人也会度过平凡安稳的一生。但我会永远怀念初次见你时那个神采飞扬又玩世不恭的天才发明家。 你所做的，是世界上最好最最好的事，而你即将得到的是你一生最安详最最安详的休息。晚安，Tony Stark，我爱你不止三千遍。"
278,没错，就该砍掉极端环保主义者的狗头。一遍不够，再砍一遍。
279,It's beyond entertainment. It's an experience I'm proud to be a part of.
280,不喜欢任何do over的设定，所有牺牲正因为无可挽回而悲壮。只说喜欢部分：1、鹰眼和黑寡妇去取心灵宝石，和上一部灭霸去取形成了对比，正是这一部分让我把灭霸列入反派。这段动作戏超帅气，这两个人真是到最后一刻都在互掐绝不手软，毫不相让。但仔细想想这里的设定是，你笃定自己是对方最爱的人，你确信自己跳下去是要有用的。这两个人对此都一点废话没有，人世间能有如此的人，且彼此心知肚明，也是幸运。既虐却暖。再看开头和结尾鹰眼俗世的幸福，又是一叹。2、混战中保护惊奇队长特意有一个girls power的片段，很燃。3、片名是End Game，想起安德游戏。反而是灭霸说的话印象深刻，你们执着于无法忘记过去，才无法开启新的未来。但在过去现在未来，也正因为与之羁绊的人，才有存在与保护的意义。
283,I AM IRONMAN. WHATEVER IT TAKES. LOVE YOU THREE THOUSAND. 五星送给片尾和这十一年（和本片无关。多说一句罗素兄弟拍不了史诗之作，他们只能捣鼓出合格的爆米花。）
286,9.0 蚁人果然是关键点，雷神成废柴大腹便便，逆转未来的往日时光怎么也看不厌，为了与至爱的片刻就能不惜一切，九头蛇万岁的美国翘臀笑点很来电，黑云压寨时的英雄同框终于出现，十年布局等待而来的这一刻止不住泪腺，葬礼镜头缓缓移动是对美好时光的最好怀念，超级英雄回归平凡而平凡如我有了超级英雄一样的体验，感谢漫威的陪伴就此落幕要说上一句爱你三千遍!!!
287,I love you times infinity.
289,"""i love you 3000 times."""
290,换取Soul Stone那场戏的时候，自己的眼泪止不住的流，如果不是因为这，自己都不敢相信漫威宇宙已经陪我走过了这么些年。这最后一仗打得虽说不是尽善尽美，但绝对是一部合格的好莱坞爽片，从故事、特效到情感带动，到底是没有辜负这么多年布的一盘大棋。寡姐，你永远是我的女神！
291,用一场逆转时空的旅行串起十年作品，实在是非常巧妙的怀旧。时间理论虽然解释得不清不楚，但也算有趣。漫威从来不存在我的青春里，但有几场戏也算印象深刻，比想象中好看。
292,左边一对情侣卿卿我我女的抱怨坐最后一排啥都看不清楚练听力，不然就是跟男的说饿又不让男的去买吃的。右边两个女的其中一个从头到尾卧槽卧槽卧槽真想扇她，全程叨逼逼最后又狂哭，叨逼逼也让我想起一些剧情那就算了。美队抡锤子真是神了。。。
293,今晚在影院的人真幸福。
294,Just like all your wildest dreams come true! 这部有多么圆满，未来的布局就有多么难。初代远去后，可能再也不会有这种期待和满足感了。PS：小男孩哈利都出现了，真的不交代下希芙的结局吗？
295,心都碎了，眼泪根本止不住……每次都一脸嫌弃但又忍不住拯救世界的人啊，明明只是个凡人之躯。由你开始，由你结束。最好的Tony Stark，love you 3000 times
296,又一场青春十年告一段落，除了英雄，我们还见证了整个光影体系的十年蜕变。是结尾，也是开头。
297,节奏把控得不够完美，故事大体上都能猜到。没办法，作为近十年的现象级系列，平衡与掣肘实在太多，漫威已经尽力了。大量女权主义事先有预告，但黑人美国队长？实在有点太政治正确了，不知道川普怎么看。
298,小伙伴在被剧透逼疯之前拉我们去看了……早场。第一感想：票真tm贵人真jb多。坐我边上俩妹子全程聊天+尖叫+哭泣。她们来看电影的主要目的好像是膈应别人。我本来该有的情绪也被她俩憋回去了。老英雄谢幕，新英雄登场。每个人都多少失去了点什么。为了赶结局，复联成员之间的感情反倒处理得淡了，剧情不算太有意思。都是感情分。本片最佳场面：寡姐和鹰眼相爱自杀（无误）。全复盟总结（个人向）：最爱的是美队，最帅的是鹰眼，最美的是洛基，最悲的是寡姐，最基的……居然是虫铁（感谢在这一部完全垮掉的其他cp们）
299,只要看见这个电影名字就高潮了好吗。。。。| 结果从头哭到尾，我都不记得我上次哭得这么悲惨是什么时候了。那种复杂的心情，又感动，又不舍，又欣慰，又难过的简直了。虽然知道Marvel的宇宙观里其实是没有真正悲伤的结局的，但是每一个牺牲，每一个失去，每一个分别都还是从最深处触动我。所有的重生，回归，相聚都是种失而复得。十年时间过得真快，仔细看看其实真正能陪伴我走过十年的人或者东西屈指可数。我很幸运，拥有这个宇宙！
302,一左一右两个大哥观影过程中不停抽泣，引得我也鼻子酸酸的。 漫威宇宙对钢铁侠这一角色的塑造太成功了，有始有终。 11年，虽不是漫威迷，但21部电影都悉数看过。就此作别。
303,让我先打个五星缓缓，拍红的手打字很困难，而且现在找不到任何合适的词语形容。 每一句台词都是梗，粉丝都能get到并为之欢呼。总之，一段旅程结束了，初代们，还有我。
304,建议吃点咸的入场233
305,我和奇异博士一样，即使把结局看了一千四百万遍，我也不会说一个字的。
306,Avengers Assemble！
307,作为一个漫威黑，还是承认这部收尾之作确实拍得不错，稍稍看到了一点复联1的影子，在一堆超级英雄大乱斗里，花了笔墨去刻画人物讲述困境，美队、钢铁侠、雷神的人物弧线都写得很漂亮，不过绿巨人、鹰眼、寡姐的人物弧线写得就差些。尤其是寡姐，按理说她那场戏的情绪点应该放在灵魂黑夜这个阶段，结果电影里另外几拨人还在嘻嘻哈哈做任务，她那边直接开虐，观众情绪转不过来，而钢铁侠和美队的情绪点就很恰到好处。以穿越的形式把漫威电影宇宙里的几个名场面串联了起来，情怀满分，剧作结构也没毛病，看完之后同伴问我穿越设定有没有BUG，我说看漫威你还要带脑子吗？这已经算是这几年漫威引领的超级英雄电影低龄化风潮中没那么低龄化的一部了，还要什么自行车啊？（说着说着又忍不住开始黑漫威了……）
309,首映场太刺激了，平均两分钟鼓掌一次五分钟欢呼一次到了最后甚至是斯坦李的字幕出来都全场鼓掌。各种熟悉的场面熟悉的人物熟悉的梗鸡皮疙瘩一波接着一波！弱弱吐槽下，吧唧才是美队的羁绊好吗不要强行BG！以及寡姐才是鹰眼的此生挚爱官方锁了！还有就是，我可以三个字虽然说倦了，但还是要宣布小tom蜘蛛boy正式替代大tom洛基荣登我可以榜首。
310,简直是超级英雄版的故园风雨后，三小时满格的落日故人情，时间成为爱与重逢的终极钥匙，最最嗨翻的场面觉得近乎拍出几分五道轮回、六界合一的气势来；回家第一件事是刨出了当年的古董电影票，2008年5月在港汇看得很开心的我，无论如何都不会预料到11年后会迎来这样的结局；作为一个杂食性的电影爱好者，深感能一路见证极致商业娱乐电影标杆的成长史也是我的荣幸
311,趁着下映之前二刷了！十年布局，一朝终结！既是旧的结束，又是新的开始。我会长久地怀念托尼、寡姐，以及能举起锤子战力爆棚的美队！也会对英气十足的短发惊队、小蜘蛛和奇异博士满怀期待！期待未来十年，漫威电影宇宙能更精彩：多重宇宙，X战警和神奇四侠的回归，贱贱、小蜘蛛、蚁人和星爵的“嘴炮联盟”……爱你们三千遍！
313,漫威把“电影宇宙”的玩法推到了一个新的极致，登峰造极的功力。
